Table 1,Offender Count,Ethnicity,Age Group,Police District
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,60-64,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Organisation,NotApplicable,Auckland City
1 Age Ethnicity Boundary,1,Asian,55-59,Auckland City
1 Age Ethnicity Boundary,1,Asian,20-24,Auckland City
1 Age Ethnicity Boundary,1,Asian,15-19,Auckland City
1 Age Ethnicity Boundary,1,Asian,20-24,Auckland City
1 Age Ethnicity Boundary,1,Asian,35-39,Auckland City
1 Age Ethnicity Boundary,1,Asian,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Asian,20-24,Canterbury
1 Age Ethnicity Boundary,1,Asian,40-44,Canterbury
1 Age Ethnicity Boundary,1,Asian,40-44,Canterbury
1 Age Ethnicity Boundary,1,Asian,10-14,Canterbury
1 Age Ethnicity Boundary,1,Asian,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,30-34,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,60-64,Waitemata
1 Age Ethnicity Boundary,1,Asian,30-34,Waitemata
1 Age Ethnicity Boundary,1,Asian,50-54,Waitemata
1 Age Ethnicity Boundary,1,Asian,50-54,Waitemata
1 Age Ethnicity Boundary,1,Asian,50-54,Wellington
1 Age Ethnicity Boundary,1,Asian,60-64,Wellington
1 Age Ethnicity Boundary,1,Asian,15-19,Wellington
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,55-59,Auckland City
1 Age Ethnicity Boundary,1,European,60-64,Auckland City
1 Age Ethnicity Boundary,1,European,60-64,Auckland City
1 Age Ethnicity Boundary,1,European,15-19,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,2,European,25-29,Auckland City
1 Age Ethnicity Boundary,2,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,45-49,Auckland City
1 Age Ethnicity Boundary,1,European,50-54,Auckland City
1 Age Ethnicity Boundary,1,European,55-59,Auckland City
1 Age Ethnicity Boundary,1,European,60-64,Auckland City
1 Age Ethnicity Boundary,1,European,60-64,Auckland City
1 Age Ethnicity Boundary,1,European,15-19,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,60-64,Auckland City
1 Age Ethnicity Boundary,2,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,2,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,3,European,45-49,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,50-54,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,65-69,Auckland City
1 Age Ethnicity Boundary,1,European,10-14,Auckland City
1 Age Ethnicity Boundary,1,European,15-19,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,45-49,Auckland City
1 Age Ethnicity Boundary,1,European,50-54,Auckland City
1 Age Ethnicity Boundary,1,Asian,35-39,Canterbury
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,50-54,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,50-54,Northland
1 Age Ethnicity Boundary,1,Asian,15-19,Tasman
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,45-49,Auckland City
1 Age Ethnicity Boundary,1,European,45-49,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,2,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,55-59,Auckland City
1 Age Ethnicity Boundary,1,European,10-14,Auckland City
1 Age Ethnicity Boundary,2,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,2,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,45-49,Auckland City
1 Age Ethnicity Boundary,1,European,15-19,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,55-59,Auckland City
1 Age Ethnicity Boundary,1,European,25-29,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,45-49,Auckland City
1 Age Ethnicity Boundary,1,European,50-54,Auckland City
1 Age Ethnicity Boundary,1,European,55-59,Auckland City
1 Age Ethnicity Boundary,1,European,10-14,Auckland City
1 Age Ethnicity Boundary,1,European,10-14,Auckland City
1 Age Ethnicity Boundary,1,European,15-19,Auckland City
1 Age Ethnicity Boundary,1,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,15-19,Auckland City
1 Age Ethnicity Boundary,1,European,20-24,Auckland City
1 Age Ethnicity Boundary,2,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,50-54,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,15-19,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,3,European,30-34,Auckland City
1 Age Ethnicity Boundary,1,European,30-34,Auckland City
1 Age Ethnicity Boundary,3,European,35-39,Auckland City
1 Age Ethnicity Boundary,1,European,40-44,Auckland City
1 Age Ethnicity Boundary,1,European,45-49,Auckland City
1 Age Ethnicity Boundary,2,European,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,European,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,70-74,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,2,European,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,European,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,2,European,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,European,60-64,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,60-64,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,6,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,2,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,55-59,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,3,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,2,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,3,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,2,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,4,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,45-49,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,2,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,50-54,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,2,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,2,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,3,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,45-49,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,50-54,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,2,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,2,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,2,Maori,45-49,Canterbury
1 Age Ethnicity Boundary,1,Maori,60-64,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,2,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,40-44,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,2,Maori,20-24,Central
1 Age Ethnicity Boundary,2,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,5,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,2,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,2,Maori,35-39,Central
